"","i","j","空港i","空港j","航空会社","旅客数","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","エアライン参入数","鉄道ダミー","一便あたり座席数","一便あたり貨物","OD","DIS","Seat","Freq","MC","LF","observedprob"
"148",46,18,"那覇","東京","SKY",171742,160,24700,3,195,20.748883,4,0,192.24861878453,0,2566015,1687,192.24861878453,1086,9278.5,82.3,0.0669294606617654
"149",46,25,"那覇","大阪","JAL",134550,130,34200,1,0,16.142931,2,0,462.777517564403,7449.3981264637,990790,1304,462.777517564403,427,14344,68.1,0.13580072467425
"150",46,25,"那覇","大阪","ANA",145413,130,34200,1,0,16.142931,2,0,478.016431924883,5387.23474178404,990790,1304,478.016431924883,426,14344,71.4,0.146764702913836
"151",46,25,"那覇","関西","JAL",226618,130,34200,4,635,39.38936,2,0,226.713120326309,2932.16519374575,990790,1261,226.713120326309,1471,13871,68,0.228724553134368
"152",46,25,"那覇","関西","ANA",240932,130,34200,4,435,39.38936,2,0,245.92912371134,3872.01159793814,990790,1261,245.92912371134,1552,13871,63.1,0.243171610533009
"153",46,25,"那覇","神戸","ANA",152136,125,34200,3,140,30.259194,2,0,243.256585365854,1233.44780487805,990790,1308,243.256585365854,1025,14388,61,0.153550197317292
"154",46,25,"那覇","神戸","JTA",91141,125,34200,3,600,30.259194,2,0,204.206477732794,2587.68286099865,990790,1308,204.206477732794,741,14388,60.2,0.0919882114272449
"155",46,37,"那覇","福岡","JAL",210209,100,27500,5,150,5.6347,4,0,192.146608315098,1514.38730853392,655691,1008,192.146608315098,1828,11088,59.8,0.320591559133799
"156",46,37,"那覇","福岡","ANA",371051,100,27500,8,685,5.6347,4,0,207.701271914747,2095.67720866277,655691,1008,207.701271914747,2909,11088,61.4,0.565893080734675
"157",46,37,"那覇","福岡","JTA",27577,100,27500,1,615,5.6347,4,0,145.313351498638,953.659400544959,655691,1008,145.313351498638,367,11088,51.7,0.042057920575393
"158",46,37,"那覇","福岡","SKY",46854,100,19800,2,470,5.6347,4,0,177,0,655691,1008,177,591,5544,44.8,0.0714574395561324
