OD,i,j,空港i,空港j,rk,k,航空会社,所要時間,費用,費用（多客期）,航空便数,滞在可能時間,アクセシビリティ指標,エアライン参入社数,DISk,cpma,Seatk,LFk
E-13,,,中部,仙台,,,ANA,75,28400,30600,5,625,,2,,,,
E-13,,,中部,仙台,,,JEX,75,28400,30600,2,595,,2,,,,
E-13,,,仙台,中部,,,ANA,75,28400,30600,5,545,,2,,,,
E-13,,,仙台,中部,,,JEX,75,28400,30600,2,370,,2,,,,
E-15,,,中部,新潟,,,ANA,55,25500,25500,2,685,,1,,,,
E-15,,,新潟,中部,,,ANA,55,25500,25500,2,500,,1,,,,
E-16,,,小牧,新潟,,,JAL,55,25500,25500,2,605,,1,,,,
E-16,,,新潟,小牧,,,JAL,55,25500,25500,2,445,,1,,,,
E-19,,,中部,米子,,,,,,,,0,,,,,,
E-19,,,米子,中部,,,,,,,,0,,,,,,
E-21,,,中部,徳島,,,,,,,,0,,,,,,
E-21,,,徳島,中部,,,,,,,,0,,,,,,
E-23,,,小牧,高知,,,,,,,,0,,,,,,
E-23,,,高知,小牧,,,,,,,,0,,,,,,
E-24,,,中部,松山,,,,,,,,0,,,,,,
E-24,,,松山,中部,,,,,,,,0,,,,,,
E-25,,,小牧,松山,,,,,,,,0,,,,,,
E-25,,,松山,小牧,,,,,,,,0,,,,,,
E-26,,,中部,福岡,,,ANA,80,25400,27600,12,695,,1,,,,
E-26,,,福岡,中部,,,ANA,80,25400,27600,12,685,,1,,,,
E-27,,,小牧,福岡,,,JAL,80,25400,27600,5,610,,1,,,,
E-27,,,福岡,小牧,,,JAL,80,25400,27600,5,615,,1,,,,
E-29,,,中部,大分,,,,,,,,0,,,,,,
E-29,,,大分,中部,,,,,,,,0,,,,,,
E-31,,,中部,熊本,,,ANA,80,29200,31400,2,415,,2,,,,
E-31,,,中部,熊本,,,JEX,80,29200,31400,2,620,,2,,,,
E-31,,,熊本,中部,,,ANA,80,29200,31400,2,195,,2,,,,
E-31,,,熊本,中部,,,JEX,80,29200,31400,2,395,,2,,,,
E-32,,,小牧,熊本,,,JAL,80,29200,31400,1,25,,1,,,,
E-32,,,熊本,小牧,,,JAL,80,29200,31400,1,0,,1,,,,
E-33,,,中部,長崎,,,,,,,,0,,,,,,
E-33,,,長崎,中部,,,,,,,,0,,,,,,
E-34,,,小牧,長崎,,,,,,,,0,,,,,,
E-34,,,長崎,小牧,,,,,,,,0,,,,,,
E-35,,,中部,宮崎,,,,,,,,0,,,,,,
E-35,,,宮崎,中部,,,,,,,,0,,,,,,
E-36,,,中部,鹿児島,,,ANA,80,31900,34100,3,590,,2,,,,
E-36,,,中部,鹿児島,,,JEX,80,31900,34100,4,610,,2,,,,
E-36,,,鹿児島,中部,,,ANA,80,31900,34100,3,595,,2,,,,
E-36,,,鹿児島,中部,,,JEX,80,31900,34100,4,375,,2,,,,
E-37,,,中部,那覇,,,,,,,,0,,,,,,
E-37,,,中部,那覇,,,,,,,,0,,,,,,
E-37,,,那覇,中部,,,,,,,,0,,,,,,
E-37,,,那覇,中部,,,,,,,,0,,,,,,
E-38,,,中部,石垣,,,,,,,,0,,,,,,
E-38,,,石垣,中部,,,,,,,,0,,,,,,
F-7,,,関西,旭川,,,,,,,,0,,,,,,
F-7,,,旭川,関西,,,,,,,,0,,,,,,
F-9,,,関西,函館,,,ANA,100,38900,41100,1,30,,1,,,,
F-9,,,函館,関西,,,ANA,100,38900,41100,1,0,,1,,,,
F-12,,,大阪,青森,,,JAL,95,36700,38900,2,545,,1,,,,
F-12,,,青森,大阪,,,JAL,95,36700,38900,2,335,,1,,,,
F-13,,,大阪,三沢,,,JAL,95,37800,40000,1,40,,1,,,,
F-13,,,三沢,大阪,,,JAL,95,37800,40000,1,0,,1,,,,
F-14,,,大阪,大館,,,ANA,90,35900,37600,1,30,,1,,,,
F-14,,,大館,大阪,,,ANA,90,35900,37600,1,0,,1,,,,
F-16,,,大阪,秋田,,,JAL,80,33000,35200,2,485,,2,,,,
F-16,,,大阪,秋田,,,IBX,80,33000,35200,2,500,,2,,,,
F-16,,,秋田,大阪,,,JAL,80,33000,35200,2,240,,2,,,,
F-16,,,秋田,大阪,,,IBX,80,33000,35200,2,275,,2,,,,
F-18,,,大阪,花巻,,,JAL,85,35200,37400,1,35,,2,,,,
F-18,,,大阪,花巻,,,JEX,85,35200,37400,2,465,,2,,,,
F-18,,,花巻,大阪,,,JAL,85,35200,37400,1,0,,2,,,,
F-18,,,花巻,大阪,,,JEX,85,35200,37400,2,220,,2,,,,
F-22,,,大阪,山形,,,JAL,75,31900,34100,4,590,,1,,,,
F-22,,,山形,大阪,,,JAL,75,31900,34100,4,375,,1,,,,
F-24,,,大阪,仙台,,,ANA,75,30800,33000,6,575,,3,,,,
F-24,,,大阪,仙台,,,JEX,75,30800,33000,6,605,,3,,,,
F-24,,,大阪,仙台,,,IBX,75,30800,33000,1,0,,3,,,,
F-24,,,仙台,大阪,,,ANA,75,30800,33000,6,595,,3,,,,
F-24,,,仙台,大阪,,,JEX,75,30800,33000,6,625,,3,,,,
F-24,,,仙台,大阪,,,IBX,75,30800,33000,1,55,,3,,,,
F-27,,,大阪,福島,,,IBX,65,30000,32200,5,615,,1,,,,
F-27,,,福島,大阪,,,IBX,65,30000,32200,5,420,,1,,,,
F-28,,,大阪,新潟,,,JAL,60,29000,31200,4,610,,3,,,,
F-28,,,大阪,新潟,,,ANA,60,29000,31200,4,455,,3,,,,
F-28,,,大阪,新潟,,,JAC,60,29000,31200,4,610,,3,,,,
F-28,,,新潟,大阪,,,JAL,60,29000,31200,4,580,,3,,,,
F-28,,,新潟,大阪,,,ANA,60,29000,31200,4,585,,3,,,,
F-28,,,新潟,大阪,,,JAC,60,29000,31200,4,395,,3,,,,
F-30,,,大阪,信州まつもと,,,,,,,,0,,,,,,
F-30,,,信州まつもと,大阪,,,,,,,,0,,,,,,
G-1,,,大阪,コウノトリ但馬,,,,,,,,0,,,,,,
G-1,,,コウノトリ但馬,大阪,,,,,,,,0,,,,,,
G-2,,,大阪,出雲,,,,,,,,0,,,,,,
G-2,,,出雲,大阪,,,,,,,,0,,,,,,
G-3,,,大阪,隠岐,,,,,,,,0,,,,,,
G-3,,,隠岐,大阪,,,,,,,,0,,,,,,
G-4,,,大阪,石見,,,ANA,65,25800,28000,1,30,,1,,,,
G-4,,,石見,大阪,,,ANA,65,25800,28000,1,0,,1,,,,
G-7,,,関西,高知,,,,,,,,0,,,,,,
G-7,,,高知,関西,,,,,,,,0,,,,,,
G-8,,,大阪,高知,,,,,,,,0,,,,,,
G-8,,,高知,大阪,,,,,,,,0,,,,,,
G-9,,,関西,松山,,,,,,,,0,,,,,,
G-9,,,松山,関西,,,,,,,,0,,,,,,
G-10,,,大阪,松山,,,,,,,,0,,,,,,
G-10,,,大阪,松山,,,,,,,,0,,,,,,
G-10,,,松山,大阪,,,,,,,,0,,,,,,
G-10,,,松山,大阪,,,,,,,,0,,,,,,
G-12,,,大阪,大分,,,,,,,,0,,,,,,
G-12,,,大阪,大分,,,,,,,,0,,,,,,
G-12,,,大分,大阪,,,,,,,,0,,,,,,
G-12,,,大分,大阪,,,,,,,,0,,,,,,
G-13,,,大阪,佐賀,,,ANA,80,21900,24100,2,275,,1,,,,
G-13,,,佐賀,大阪,,,ANA,80,21900,24100,2,60,,1,,,,
G-15,,,大阪,熊本,,,JAL,70,23500,25700,1,30,,3,,,,
G-15,,,大阪,熊本,,,ANA,70,23500,25700,4,520,,3,,,,
G-15,,,大阪,熊本,,,JEX,70,23500,25700,3,570,,3,,,,
G-15,,,熊本,大阪,,,JAL,70,23500,25700,1,0,,3,,,,
G-15,,,熊本,大阪,,,ANA,70,23500,25700,4,650,,3,,,,
