"","X.1","rk","i","j","X207ゾーンi","X207ゾーンj","X47ゾーンi","X47ゾーンj","X207ゾーン名i","X207ゾーン名j","最寄りi","最寄りj","X","x_ij.k","ODij","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","鉄道ダミー","エアライン参入数","prob","y","utility","sumexputility","Probability"
"103",275,275,3,30,32,211,11,24,"北上中部","岐阜","新花巻","岐阜羽島","新花巻駅岐阜羽島駅",6,6,355,23320,1,370,5.206247,1,0,0.999,6.90675477864855,1.41487592377176,277.133760593031,0.0148519463335555
"104",279,279,3,32,32,222,11,24,"北上中部","西部","新花巻","浜松","新花巻駅浜松駅",1,1,269,20960,1,542,5.206247,1,0,0.999,6.90675477864855,3.37496193514432,277.133760593031,0.105447893904114
"105",281,281,3,33,32,223,11,18,"北上中部","東部","新花巻","三島","新花巻駅三島駅",4,4,237,19220,1,606,5.206247,1,0,0.999,6.90675477864855,4.02427083646656,21318.4402414322,0.00262399613792314
"106",283,283,3,34,32,231,11,24,"北上中部","名古屋","新花巻","名古屋","新花巻駅名古屋駅",6,7,274,22680,1,532,5.206247,1,0,0.857142857142857,1.79175946922805,3.40796865558443,277.133760593031,0.108986460040974
"107",287,287,3,36,32,233,11,24,"北上中部","豊田","新花巻","三河安城","新花巻駅三河安城駅",6,13,331,22240,1,418,5.206247,1,0,0.461538461538462,-0.154150679827258,1.92274928947333,277.133760593031,0.0246802736917931
"108",291,291,3,38,32,261,11,25,"北上中部","京都","新花巻","京都","新花巻駅京都駅",4,9,310,25280,1,460,5.206247,1,0,0.444444444444444,-0.22314355131421,2.73715352221294,109.076326144348,0.141579433088909
"109",293,293,3,39,32,271,11,25,"北上中部","大阪","新花巻","新大阪","新花巻駅新大阪駅",2,8,325,25920,1,430,5.206247,1,0,0.25,-1.09861228866811,2.41648285025014,109.076326144348,0.102738841835064
"110",295,295,3,40,32,281,11,25,"北上中部","神戸","新花巻","新神戸","新花巻駅新神戸駅",4,6,338,26360,1,404,5.206247,1,0,0.666666666666667,0.693147180559945,2.12792124379319,109.076326144348,0.0769863894425484
"111",297,297,3,41,32,283,11,25,"北上中部","播磨","新花巻","姫路","新花巻駅姫路駅",0,1,355,27000,1,370,5.206247,1,0,0.001,-6.90675477864855,1.75657111547131,109.076326144348,0.0531053946591302
"112",301,301,3,43,32,341,11,31,"北上中部","広島","新花巻","広島","新花巻駅広島駅",2,3,411,30680,1,258,5.206247,1,0,0.666666666666667,0.693147180559945,0.679241529116419,9.51040819809311,0.207391852166667
"113",315,315,3,50,32,401,11,37,"北上中部","福岡","新花巻","博多","新花巻駅博多駅",2,4,475,35000,1,130,5.206247,1,0,0.5,0,-0.541380631944461,6.73822466047406,0.0863646251037785
"114",317,317,3,51,32,402,11,37,"北上中部","北九州","新花巻","小倉","新花巻駅小倉駅",1,1,458,34340,1,164,5.206247,1,0,0.999,6.90675477864855,-0.171887542707902,6.73822466047406,0.124969692704099
"115",325,325,4,1,33,22,11,10,"両磐","南部","一ノ関","八戸","一ノ関駅八戸駅",5,5,74,6700,1,932,1.384481,1,0,0.999,6.90675477864855,7.07392768970518,5765.74839778623,0.204791569327974
"116",333,333,4,5,33,41,11,12,"両磐","仙台","一ノ関","仙台","一ノ関駅仙台駅",39,39,36,3320,1,1008,1.384481,1,0,0.999,6.90675477864855,7.72299775510814,14552.4889608402,0.155280896691595
