"","OD","i","j","空港i","空港j","rk","k","航空会社","所要時間","費用","費用.多客期.","航空便数","滞在可能時間","アクセシビリティ指標","エアライン参入社数","DISk","cpma","Seatk","LFk","V20","V21","V22"
"126","H-3",NA,NA,"福岡","仙台",NA,NA,"JAL",105,43500,45700,3,325,NA,2,NA,NA,NA,NA,37,12,1
"127","H-3",NA,NA,"福岡","仙台",NA,NA,"ANA",105,43500,45700,2,335,NA,2,NA,NA,NA,NA,37,12,2
"128","H-3",NA,NA,"仙台","福岡",NA,NA,"JAL",105,43500,45700,3,300,NA,2,NA,NA,NA,NA,12,37,1
"129","H-3",NA,NA,"仙台","福岡",NA,NA,"ANA",105,43500,45700,2,50,NA,2,NA,NA,NA,NA,12,37,2
"130","I-13",NA,NA,"丘珠","函館",NA,NA,"ANA",40,16800,17900,5,600,NA,2,NA,NA,NA,NA,8,3,2
"131","I-13",NA,NA,"丘珠","函館",NA,NA,"HAC",40,16800,17900,3,520,NA,2,NA,NA,NA,NA,8,3,10
"132","I-13",NA,NA,"函館","丘珠",NA,NA,"ANA",40,16800,17900,5,455,NA,2,NA,NA,NA,NA,3,8,2
"133","I-13",NA,NA,"函館","丘珠",NA,NA,"HAC",40,16800,17900,3,390,NA,2,NA,NA,NA,NA,3,8,10
"134","I-21",NA,NA,"新千歳","仙台",NA,NA,"JAL",65,28400,30600,4,655,NA,3,NA,NA,NA,NA,8,12,1
"135","I-21",NA,NA,"新千歳","仙台",NA,NA,"ANA",65,28400,30600,3,340,NA,3,NA,NA,NA,NA,8,12,2
"136","I-21",NA,NA,"新千歳","仙台",NA,NA,"ADO",65,27400,29600,4,560,NA,3,NA,NA,NA,NA,8,12,7
"137","I-21",NA,NA,"仙台","新千歳",NA,NA,"JAL",65,28400,30600,4,440,NA,3,NA,NA,NA,NA,12,8,1
"138","I-21",NA,NA,"仙台","新千歳",NA,NA,"ANA",65,28400,30600,3,545,NA,3,NA,NA,NA,NA,12,8,2
"139","I-21",NA,NA,"仙台","新千歳",NA,NA,"ADO",65,27400,29600,4,355,NA,3,NA,NA,NA,NA,12,8,7
