"","rk","i","j","X207ゾーンi","X207ゾーンj","X47ゾーンi","X47ゾーンj","X207ゾーン名i","X207ゾーン名j","最寄りi","最寄りj","X","x_ij.k","ODij","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","鉄道ダミー","エアライン参入数","V22","prob","out.share","share"
"103",103,1,52,22,432,10,41,"南部","八代・芦北","八戸","新八代","八戸駅新八代駅",0,0,611,39320,1,NA,7.491054667,1,0,2.496511667,NA,NA,NA
"104",104,1,52,22,432,10,41,"南部","八代・芦北","三沢","熊本","三沢駅熊本駅",0,0,0,NA,NA,NA,61.3052175,0,NA,38.7813685,NA,NA,NA
"105",105,1,53,22,461,10,44,"南部","鹿児島","八戸","鹿児島中央","八戸駅鹿児島中央駅",0,1,656,41680,1,NA,6.909107167,1,0,1.914564167,0,0,0.001
"106",106,1,53,22,461,10,44,"南部","鹿児島","三沢","鹿児島","三沢駅鹿児島駅",1,1,0,NA,NA,NA,47.72907417,0,NA,25.20522517,1,0,0.999
"107",107,1,54,22,462,10,44,"南部","川北薩・串木野","八戸","川内","八戸駅川内駅",0,0,644,41040,1,NA,5.828517167,1,0,0.833974167,NA,NA,NA
"108",108,1,54,22,462,10,44,"南部","川北薩・串木野","三沢","鹿児島","三沢駅鹿児島駅",0,0,0,NA,NA,NA,57.73323917,0,NA,35.20939017,NA,NA,NA
"109",109,2,1,31,22,11,10,"盛岡","南部","盛岡","八戸","盛岡駅八戸駅",133,136,36,3320,1,1008,6.519236,1,0,4.994543,0.977941176470588,0.0220588235294118,0.977941176470588
"110",110,2,1,31,22,11,10,"盛岡","南部","花巻","三沢","花巻駅三沢駅",0,136,0,NA,NA,NA,53.741119,0,NA,22.523849,0,0.0220588235294118,0.001
"111",111,2,2,31,31,11,11,"盛岡","盛岡","盛岡","盛岡","盛岡駅盛岡駅",0,0,0,NA,1,1080,3.049386,1,0,1.524693,NA,NA,NA
"112",112,2,2,31,31,11,11,"盛岡","盛岡","花巻","花巻","花巻駅花巻駅",0,0,0,NA,NA,NA,62.43454,0,NA,31.21727,NA,NA,NA
"113",113,2,3,31,32,11,11,"盛岡","北上中部","盛岡","新花巻","盛岡駅新花巻駅",0,0,0,1340,1,1080,6.73094,1,0,5.206247,NA,NA,NA
"114",114,2,3,31,32,11,11,"盛岡","北上中部","花巻","花巻","花巻駅花巻駅",0,0,0,NA,NA,NA,35.149662,0,NA,3.932392,NA,NA,NA
"115",115,2,4,31,33,11,11,"盛岡","両磐","盛岡","一ノ関","盛岡駅一ノ関駅",0,0,38,3320,1,1004,2.909174,1,0,1.384481,NA,NA,NA
"116",116,2,4,31,33,11,11,"盛岡","両磐","花巻","花巻","花巻駅花巻駅",0,0,0,NA,NA,NA,85.190952,0,NA,53.973682,NA,NA,NA
"117",117,2,5,31,41,11,12,"盛岡","仙台","盛岡","仙台","盛岡駅仙台駅",524,629,74,6700,1,932,2.843153,1,0,1.31846,0.833068362480127,0.166931637519873,0.833068362480127
"118",118,2,5,31,41,11,12,"盛岡","仙台","花巻","仙台","花巻駅仙台駅",0,629,0,NA,NA,NA,46.508251,0,NA,15.290981,0,0.166931637519873,0.001
"119",119,2,6,31,43,11,12,"盛岡","古川","盛岡","くりこま高原","盛岡駅くりこま高原駅",1,121,50,3880,1,980,6.588701,1,0,5.064008,0.00826446280991736,0.991735537190083,0.00826446280991736
"120",120,2,6,31,43,11,12,"盛岡","古川","花巻","仙台","花巻駅仙台駅",0,121,0,NA,NA,NA,97.294985,0,NA,66.077715,0,0.991735537190083,0.001
"121",121,2,7,31,51,11,13,"盛岡","秋田臨海","盛岡","秋田","盛岡駅秋田駅",69,376,95,4540,1,890,3.836227,1,0,2.311534,0.183510638297872,0.816489361702128,0.183510638297872
"122",122,2,7,31,51,11,13,"盛岡","秋田臨海","花巻","秋田","花巻駅秋田駅",0,376,0,NA,NA,NA,46.546791,0,NA,15.329521,0,0.816489361702128,0.001
"123",123,2,8,31,61,11,15,"盛岡","山形","盛岡","山形","盛岡駅山形駅",27,116,171,6040,1,738,2.843301,1,0,1.318608,0.232758620689655,0.767241379310345,0.232758620689655
"124",124,2,8,31,61,11,15,"盛岡","山形","花巻","山形","花巻駅山形駅",0,116,0,NA,NA,NA,48.586552,0,NA,17.369282,0,0.767241379310345,0.001
"125",125,2,9,31,63,11,12,"盛岡","米沢","盛岡","米沢","盛岡駅米沢駅",3,8,137,8000,1,806,3.279696,1,0,1.755003,0.375,0.625,0.375
"126",126,2,9,31,63,11,12,"盛岡","米沢","花巻","仙台","花巻駅仙台駅",0,8,0,NA,NA,NA,106.509723,0,NA,75.292453,0,0.625,0.001
"127",127,2,10,31,64,11,12,"盛岡","新庄","盛岡","新庄","盛岡駅新庄駅",1,12,219,3880,1,642,1.964688,1,0,0.439995,0.0833333333333333,0.916666666666667,0.0833333333333333
"128",128,2,10,31,64,11,12,"盛岡","新庄","花巻","仙台","花巻駅仙台駅",0,12,0,NA,NA,NA,119.723498,0,NA,88.506228,0,0.916666666666667,0.001
"129",129,2,11,31,71,11,12,"盛岡","福島","盛岡","福島","盛岡駅福島駅",21,43,101,9500,1,878,3.505386833,1,0,1.980693833,0.488372093023256,0.511627906976744,0.488372093023256
"130",130,2,11,31,71,11,12,"盛岡","福島","花巻","仙台","花巻駅仙台駅",0,43,0,NA,NA,NA,83.1973815,0,NA,51.9801115,0,0.511627906976744,0.001
"131",131,2,12,31,73,11,17,"盛岡","郡山","盛岡","郡山","盛岡駅郡山駅",31,60,116,10800,1,848,4.512971,1,0,2.988278,0.516666666666667,0.483333333333333,0.516666666666667
"132",132,2,12,31,73,11,17,"盛岡","郡山","花巻","福島","花巻駅福島駅",0,60,0,NA,NA,NA,53.0855515,0,NA,21.8682815,0,0.483333333333333,0.001
"133",133,2,13,31,76,11,17,"盛岡","白河","盛岡","新白河","盛岡駅新白河駅",1,3,85,11880,1,910,4.076672667,1,0,2.551979667,0.333333333333333,0.666666666666667,0.333333333333333
"134",134,2,13,31,76,11,17,"盛岡","白河","花巻","福島","花巻駅福島駅",0,3,0,NA,NA,NA,54.7712365,0,NA,23.5539665,0,0.666666666666667,0.001
"135",135,2,14,31,91,11,18,"盛岡","宇都宮","盛岡","宇都宮","盛岡駅宇都宮駅",9,16,143,14040,1,794,3.673602667,1,0,2.148909667,0.5625,0.4375,0.5625
"136",136,2,14,31,91,11,18,"盛岡","宇都宮","花巻","羽田","花巻駅羽田駅",0,16,0,NA,NA,NA,128.20561233,0,NA,96.98834233,0,0.4375,0.001
"137",137,2,15,31,93,11,18,"盛岡","栃木・小山","盛岡","小山","盛岡駅小山駅",1,5,42,14680,1,996,10.965795259,1,0,9.441102259,0.2,0.8,0.2
"138",138,2,15,31,93,11,18,"盛岡","栃木・小山","花巻","羽田","花巻駅羽田駅",0,5,0,NA,NA,NA,118.49993381,0,NA,87.28266381,0,0.8,0.001
"139",139,2,16,31,95,11,18,"盛岡","那須","盛岡","那須塩原","盛岡駅那須塩原駅",4,13,70,12520,1,940,8.432029,1,0,6.907336,0.307692307692308,0.692307692307692,0.307692307692308
"140",140,2,16,31,95,11,18,"盛岡","那須","花巻","羽田","花巻駅羽田駅",0,13,0,NA,NA,NA,179.283336,0,NA,148.066066,0,0.692307692307692,0.001
"141",141,2,17,31,101,11,18,"盛岡","前橋・高崎","盛岡","高崎","盛岡駅高崎駅",19,21,173,14040,1,734,10.400529,1,0,8.875836,0.904761904761905,0.0952380952380952,0.904761904761905
"142",142,2,17,31,101,11,18,"盛岡","前橋・高崎","花巻","羽田","花巻駅羽田駅",0,21,0,NA,NA,NA,144.933577,0,NA,113.716307,0,0.0952380952380952,0.001
"143",143,2,18,31,104,11,18,"盛岡","沼田・利根","盛岡","上毛高原","盛岡駅上毛高原駅",0,0,198,12960,1,684,10.05536,1,0,8.530667,NA,NA,NA
"144",144,2,18,31,104,11,18,"盛岡","沼田・利根","花巻","羽田","花巻駅羽田駅",0,0,0,NA,NA,NA,170.008941,0,NA,138.791671,NA,NA,NA
"145",145,2,19,31,111,11,18,"盛岡","浦和","盛岡","大宮","盛岡駅大宮駅",87,112,149,16420,1,782,6.92689,1,0,5.402197,0.776785714285714,0.223214285714286,0.776785714285714
"146",146,2,19,31,111,11,18,"盛岡","浦和","花巻","羽田","花巻駅羽田駅",0,112,0,NA,NA,NA,68.097845,0,NA,36.880575,0,0.223214285714286,0.001
"147",147,2,20,31,113,11,18,"盛岡","児玉・大里","盛岡","熊谷","盛岡駅熊谷駅",5,6,163,15120,1,754,2.234055,1,0,0.709362,0.833333333333333,0.166666666666667,0.833333333333333
"148",148,2,20,31,113,11,18,"盛岡","児玉・大里","花巻","羽田","花巻駅羽田駅",0,6,0,NA,NA,NA,106.637417,0,NA,75.420147,0,0.166666666666667,0.001
"149",149,2,21,31,131,11,18,"盛岡","23区","盛岡","東京","盛岡駅東京駅",477,530,175,16840,1,730,NA,1,0,NA,0.9,0.1,0.9
