"","X","i","j","空港i","空港j","航空会社","旅客数","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","エアライン参入数","鉄道ダミー","一便あたり座席数","一便あたり貨物","OD","DIS","Seat","Freq","MC","LF","observedprob","airlineNo","utility2","exputility","alpha"
"101",101,25,18,"大阪","成田","JAL",108098,85,22500,2,530,76.65331,2,0,204.598901098901,1145.7239010989,25166092,589,204.598901098901,728,6479,72.6,0.00429538285086139,1,-2.58838293000202,0.0751414508798162,136.491395868376
"102",102,25,18,"大阪","成田","ANA",88647,85,22500,2,525,76.65331,2,0,212.138147566719,10.6624803767661,25166092,589,212.138147566719,637,6479,65.6,0.00352247778479074,2,-4.42119515920489,0.0120198580526938,699.732259762578
"103",103,25,18,"神戸","東京","JAL",111429,70,22500,2,715,44.948443,3,0,229.692837465565,1016.64600550964,25166092,695,229.692837465565,726,7645,66.8,0.0044277434891361,1,-1.2022855383734,0.300506607055993,35.1812609250651
"104",104,25,18,"神戸","東京","ANA",122651,70,22500,2,710,44.948443,3,0,250.607579462103,517.812958435208,25166092,695,250.607579462103,818,7645,59.8,0.00487366095617865,2,-1.72738578112896,0.177748476541465,65.4685012941162
"105",105,25,18,"神戸","東京","SKY",276054,70,11400,6,695,44.948443,3,0,177,0,25166092,695,177,1897,3822.5,82.2,0.0109692835899988,4,-0.561178733193282,0.57053615743143,45.9069103290339
"106",106,25,18,"新大阪","東京","JR",21164000,150,14450,1,780,12.048303,0,1,0,0,25166092,NA,NA,1,NA,NA,0.840972845525638,0,3.34041277924537,28.2307773796479,71.128247495881
"107",107,25,37,"大阪","福岡","JAL",86430,70,21900,2,630,15.717997,3,0,144.375,881.760044642857,3054094,578,144.375,896,6358,69.2,0.0282997183452769,1,-1.56540552592416,0.209003239753581,1
"108",108,25,37,"大阪","福岡","ANA",286928,70,21900,7,615,15.717997,3,0,156.136557059961,1473.40618955513,3054094,578,156.136557059961,2585,6358,71.1,0.0939486472911443,2,-0.29549436053589,0.744163611395261,0.932380123190986
"109",109,25,37,"大阪","福岡","JAC",37593,70,21900,2,30,15.717997,3,0,74,62.5281690140845,3054094,578,74,710,6358,71.6,0.0123090513913455,5,-4.04694101774745,0.017475750971317,5.20187177167459
"110",110,25,37,"関西","福岡","JAL",43976,70,21900,3,515,38.964426,2,0,62.2207207207207,121.347747747748,3054094,553,62.2207207207207,1110,6083,72,0.0143990329046847,1,-4.86573996493539,0.00770612381979123,13.7996555513568
"111",111,25,37,"関西","福岡","ANA",62171,70,21900,4,410,38.964426,2,0,78.4483798040693,23.9005275056518,3054094,553,78.4483798040693,1327,6083,59.7,0.0203566098489437,2,-4.77238222240724,0.00846020205222703,17.7703353165292
"112",112,25,37,"大阪","佐賀","ANA",20996,80,21900,2,275,64.841863,1,0,74,3.17198335644938,3054094,660,74,721,7260,39.4,0.00687470654144895,2,-5.89837708787983,0.00274389430655452,18.5036621691171
"113",113,25,37,"新大阪","博多","JR",2516000,150,15310,1,780,7.008287,0,1,0,0,3054094,NA,NA,1,NA,NA,0.823812233677156,0,3.26845087415127,26.2706113219346,0.231594884768352
"114",114,25,46,"大阪","那覇","JAL",140677,130,34200,1,415,16.142931,2,0,462.306074766355,9072.21728971963,993179,1304,462.306074766355,428,14344,71.1,0.141643147911907,1,13.0424007473351,461575.42191258,1
"115",115,25,46,"大阪","那覇","ANA",156335,130,34200,1,0,16.142931,2,0,478.284037558685,8777.50234741784,993179,1304,478.284037558685,426,14344,76.7,0.157408684637915,2,12.7811625987787,355458.078553616,1.4430700262774
"116",116,25,46,"関西","那覇","JAL",217810,130,34200,4,615,39.38936,2,0,224.600814663951,2764.37746096402,993179,1261,224.600814663951,1473,13871,65.8,0.219305885444618,1,-1.99888264593718,0.135486585178358,5274740.45891171
"117",117,25,46,"関西","那覇","ANA",227843,130,34200,4,495,39.38936,2,0,243.927156549521,5183.34057507987,993179,1261,243.927156549521,1565,13871,59.7,0.229407790539268,2,2.42563900459748,11.3094539038339,66101.8527946936
"118",118,25,46,"神戸","那覇","ANA",157229,125,34200,3,520,30.259194,2,0,243.435546875,1714.3828125,993179,1308,243.435546875,1024,14388,63.1,0.158308824491859,2,-3.17251979439059,0.0418978907091926,12312891.9898246
"119",119,25,46,"神戸","那覇","JTA",93285,125,34200,2,300,30.259194,2,0,204.304172274563,3142.57604306864,993179,1308,204.304172274563,743,14388,61.5,0.0939256669744326,8,-1.35329662830395,0.258387048998664,1184569.78556606
"120",120,37,8,"福岡","新千歳","JAL",120647,145,51100,2,405,43.668941,2,0,230.76817558299,3332.93141289438,233962,1614,230.76817558299,729,17754,71.7,0.515669211239432,1,-6.01995984720344,0.0024297671550122,1
"121",121,37,8,"福岡","新千歳","ANA",104315,145,51100,1,60,43.668941,2,0,401.927419354839,4785.97043010753,233962,1614,401.927419354839,372,17754,69.8,0.445863003393713,2,-1.0012257603237,0.367428785402957,0.00571770461194816
