"","i","j","207ゾーンi","207ゾーンj","47ゾーンi","47ゾーンj","207ゾーン名i","207ゾーン名j","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","鉄道ダミー","エアライン参入数","x","OD1","OD2","路線距離","一便あたり座席数","一便あたり貨物","一便あたり超過手荷物","prob1","prob2","share1","share2","out.share2"
"120",2,6,31,43,11,12,"盛岡","古川",50,1940,1,980,6.588701,1,0,1,1,121,119.1,0,0,0,1,0.00826446280991736,0.999,0.00826446280991736,0.990735537190083
"121",2,7,31,51,11,13,"盛岡","秋田臨海",NA,NA,NA,NA,46.546791,0,NA,0,69,376,0,0,0,0,0,0,0.001,0.001,0.815489361702128
"122",2,7,31,51,11,13,"盛岡","秋田臨海",95,2270,1,890,3.836227,1,0,69,69,376,127.3,0,0,0,1,0.183510638297872,0.999,0.183510638297872,0.815489361702128
"123",2,8,31,61,11,15,"盛岡","山形",NA,NA,NA,NA,48.586552,0,NA,0,27,116,0,0,0,0,0,0,0.001,0.001,0.766241379310345
"124",2,8,31,61,11,15,"盛岡","山形",171,3020,1,738,2.843301,1,0,27,27,116,175.4,0,0,0,1,0.232758620689655,0.999,0.232758620689655,0.766241379310345
"125",2,9,31,63,11,12,"盛岡","米沢",NA,NA,NA,NA,106.509723,0,NA,0,3,8,0,0,0,0,0,0,0.001,0.001,0.624
"126",2,9,31,63,11,12,"盛岡","米沢",137,4000,1,806,3.279696,1,0,3,3,8,222.4,0,0,0,1,0.375,0.999,0.375,0.624
"127",2,10,31,64,11,12,"盛岡","新庄",NA,NA,NA,NA,119.723498,0,NA,0,1,12,0,0,0,0,0,0,0.001,0.001,0.915666666666667
"128",2,10,31,64,11,12,"盛岡","新庄",219,1940,1,642,1.964688,1,0,1,1,12,113.9,0,0,0,1,0.0833333333333333,0.999,0.0833333333333333,0.915666666666667
"129",2,11,31,71,11,12,"盛岡","福島",NA,NA,NA,NA,83.1973815,0,NA,0,21,43,0,0,0,0,0,0,0.001,0.001,0.510627906976744
"130",2,11,31,71,11,12,"盛岡","福島",101,4750,1,878,3.505386833,1,0,21,21,43,262.5,0,0,0,1,0.488372093023256,0.999,0.488372093023256,0.510627906976744
"131",2,12,31,73,11,17,"盛岡","郡山",NA,NA,NA,NA,53.0855515,0,NA,0,31,60,0,0,0,0,0,0,0.001,0.001,0.482333333333333
"132",2,12,31,73,11,17,"盛岡","郡山",116,5400,1,848,4.512971,1,0,31,31,60,308.6,0,0,0,1,0.516666666666667,0.999,0.516666666666667,0.482333333333333
"133",2,13,31,76,11,17,"盛岡","白河",NA,NA,NA,NA,54.7712365,0,NA,0,1,3,0,0,0,0,0,0,0.001,0.001,0.665666666666667
"134",2,13,31,76,11,17,"盛岡","白河",85,5940,1,910,4.076672667,1,0,1,1,3,349.9,0,0,0,1,0.333333333333333,0.999,0.333333333333333,0.665666666666667
"135",2,14,31,91,11,18,"盛岡","宇都宮",NA,NA,NA,NA,128.20561233,0,NA,0,9,16,0,0,0,0,0,0,0.001,0.001,0.4365
"136",2,14,31,91,11,18,"盛岡","宇都宮",143,7020,1,794,3.673602667,1,0,9,9,16,425.8,0,0,0,1,0.5625,0.999,0.5625,0.4365
"137",2,15,31,93,11,18,"盛岡","栃木・小山",NA,NA,NA,NA,118.49993381,0,NA,0,1,5,0,0,0,0,0,0,0.001,0.001,0.799
"138",2,15,31,93,11,18,"盛岡","栃木・小山",42,7340,1,996,10.965795259,1,0,1,1,5,454.7,0,0,0,1,0.2,0.999,0.2,0.799
"139",2,16,31,95,11,18,"盛岡","那須",NA,NA,NA,NA,179.283336,0,NA,0,4,13,0,0,0,0,0,0,0.001,0.001,0.691307692307692
"140",2,16,31,95,11,18,"盛岡","那須",70,6260,1,940,8.432029,1,0,4,4,13,377.5,0,0,0,1,0.307692307692308,0.999,0.307692307692308,0.691307692307692
"141",2,17,31,101,11,18,"盛岡","前橋・高崎",NA,NA,NA,NA,144.933577,0,NA,0,19,21,0,0,0,0,0,0,0.001,0.001,0.0942380952380952
"142",2,17,31,101,11,18,"盛岡","前橋・高崎",173,7020,1,734,10.400529,1,0,19,19,21,430.3,0,0,0,1,0.904761904761905,0.999,0.904761904761905,0.0942380952380952
"143",2,18,31,104,11,18,"盛岡","沼田・利根",NA,NA,NA,NA,170.008941,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"144",2,18,31,104,11,18,"盛岡","沼田・利根",198,6480,1,684,10.05536,1,0,0,0,0,383.7,0,0,0,NA,NA,NA,NA,NA
"145",2,19,31,111,11,18,"盛岡","浦和",NA,NA,NA,NA,68.097845,0,NA,0,87,112,0,0,0,0,0,0,0.001,0.001,0.222214285714286
"146",2,19,31,111,11,18,"盛岡","浦和",149,8210,1,782,6.92689,1,0,87,87,112,505,0,0,0,1,0.776785714285714,0.999,0.776785714285714,0.222214285714286
"147",2,20,31,113,11,18,"盛岡","児玉・大里",NA,NA,NA,NA,106.637417,0,NA,0,5,6,0,0,0,0,0,0,0.001,0.001,0.165666666666667
"148",2,20,31,113,11,18,"盛岡","児玉・大里",163,7560,1,754,2.234055,1,0,5,5,6,470.6,0,0,0,1,0.833333333333333,0.999,0.833333333333333,0.165666666666667
"149",2,21,31,131,11,18,"盛岡","23区",NA,NA,NA,NA,49.98138,0,NA,0,477,530,0,0,0,0,0,0,0.001,0.001,0.099
"150",2,21,31,131,11,18,"盛岡","23区",175,8420,1,730,3.3247435,1,0,477,477,530,535.3,0,0,0,1,0.9,0.999,0.9,0.099
"151",2,22,31,141,11,18,"盛岡","横浜",NA,NA,NA,NA,51.40044,0,NA,0,57,65,0,0,0,0,0,0,0.001,0.001,0.122076923076923
"152",2,22,31,141,11,18,"盛岡","横浜",194,8960,1,692,7.3871085,1,0,57,57,65,564.1,0,0,0,1,0.876923076923077,0.999,0.876923076923077,0.122076923076923
"153",2,23,31,144,11,18,"盛岡","小田原",NA,NA,NA,NA,91.22893917,0,NA,0,5,5,0,0,0,0,0,0,0.001,0.001,0
"154",2,23,31,144,11,18,"盛岡","小田原",215,9610,1,650,2.794271,1,0,5,5,5,619.2,0,0,0,1,1,0.999,0.999,0
