rk,i,j,207ゾーンi,207ゾーンj,47ゾーンi,47ゾーンj,207ゾーン名i,207ゾーン名j,最寄りi,最寄りj,,"x_ij,k",ODij,所要時間,費用,航空便数,滞在可能時間,アクセシビリティ,鉄道ダミー,エアライン参入数
207,2,50,31,401,11,37,盛岡,福岡,盛岡,博多,盛岡駅博多駅,0,3,475,,,,1.524693,1,
208,2,50,31,401,11,37,盛岡,福岡,花巻,福岡,花巻駅福岡駅,3,3,0,,,,31.21727,0,
209,2,51,31,402,11,37,盛岡,北九州,盛岡,小倉,盛岡駅小倉駅,2,3,458,,,,1.524693,1,
210,2,51,31,402,11,37,盛岡,北九州,花巻,福岡,花巻駅福岡駅,1,3,0,,,,31.21727,0,
211,2,52,31,432,11,41,盛岡,八代・芦北,盛岡,新八代,盛岡駅新八代駅,0,0,575,,,,1.524693,1,
212,2,52,31,432,11,41,盛岡,八代・芦北,花巻,熊本,花巻駅熊本駅,0,0,0,,,,31.21727,0,
213,2,53,31,461,11,44,盛岡,鹿児島,盛岡,鹿児島中央,盛岡駅鹿児島中央駅,0,0,620,,,,1.524693,1,
214,2,53,31,461,11,44,盛岡,鹿児島,花巻,鹿児島,花巻駅鹿児島駅,0,0,0,,,,31.21727,0,
215,2,54,31,462,11,44,盛岡,川北薩・串木野,盛岡,川内,盛岡駅川内駅,0,0,608,,,,1.524693,1,
216,2,54,31,462,11,44,盛岡,川北薩・串木野,花巻,鹿児島,花巻駅鹿児島駅,0,0,0,,,,31.21727,0,
217,3,1,32,22,11,10,北上中部,南部,新花巻,八戸,新花巻駅八戸駅,8,8,36,,,,5.206247,1,
218,3,1,32,22,11,10,北上中部,南部,花巻,三沢,花巻駅三沢駅,0,8,0,,,,3.932392,0,
219,3,2,32,31,11,11,北上中部,盛岡,新花巻,盛岡,新花巻駅盛岡駅,－,#VALUE!,0,,,,5.206247,1,
220,3,2,32,31,11,11,北上中部,盛岡,花巻,花巻,花巻駅花巻駅,0,#VALUE!,0,,,,3.932392,0,
221,3,3,32,32,11,11,北上中部,北上中部,新花巻,新花巻,新花巻駅新花巻駅,－,#VALUE!,0,,,,5.206247,1,
222,3,3,32,32,11,11,北上中部,北上中部,花巻,花巻,花巻駅花巻駅,0,#VALUE!,0,,,,3.932392,0,
